Landkreis,Einwohner,Income,0-34,35-79,80+,Total_Cases,D(0-34),D(35-79),D(80+),Total_Deaths,Area,Density,Einwohner(0-34),Einwohner(35-79),Einwohner(80+),west(0)/east(1)
Baden-Baden,55123.0,29565.0,399,620,114,1133,0,18,25,43,140.19,393.2020828875098,17910.0,29211.0,8002.0,0.0
Bamberg,224678.0,22088.26368402781,1736,2393,481,4610,1,48,100,149,1222.4199999999998,183.79771273375766,87153.0,115441.0,22084.0,0.0
Barnim,18276.0,19707.0,787,2239,358,3384,0,44,65,109,1479.67,12.351402677624064,56390.0,103532.0,22838.0,1.0
Bautzen,30088.0,19467.0,3820,10478,2415,16713,0,142,277,419,2395.6,12.559692770078478,87684.0,167328.0,45868.0,1.0
Bayreuth,178313.0,21257.858131487887,1558,2247,494,4299,0,32,79,111,1340.5200000000002,133.01778414346668,66240.0,91598.0,20475.0,0.0
Berchtesgadener Land,105722.0,22131.999999999996,1307,1835,344,3486,1,25,48,74,839.83,125.88500053582273,38103.0,54122.0,13497.0,0.0
Bergstraße,269694.0,23330.0,2137,2987,584,5708,0,53,107,160,719.47,374.85093193600846,93100.0,146012.0,30582.0,0.0
Berlin,3644826.0,19719.0,46284,56072,9186,111542,1,600,1226,1827,891.12,4090.162941018045,1474260.0,1799671.0,370895.0,0.0
Bernkastel-Wittlich,112262.0,22529.0,639,929,185,1753,1,9,32,42,1167.94,96.11966368135349,38355.0,60648.0,13259.0,0.0
Biberach,199742.0,22970.0,1563,2194,291,4048,0,20,68,88,1409.53,141.70822898412948,78742.0,101817.0,19183.0,0.0
Bielefeld,333786.0,22659.000000000004,3675,4434,738,8847,0,50,131,181,258.82,1289.645313345182,136404.0,160336.0,37046.0,0.0
Birkenfeld,8072.0,21504.0,677,730,179,1586,0,18,33,51,776.83,10.390947826422769,27252.0,43221.0,10247.0,0.0
Bochum,364628.0,19620.0,4169,4399,515,9083,0,35,72,107,145.66,2503.2816147192093,138561.0,183044.0,43023.0,0.0
Bodenseekreis,216227.0,25728.0,1465,2174,355,3994,0,18,54,72,664.79,325.25609590998664,78049.0,112219.0,25959.0,0.0
Bonn,327258.0,23055.999999999996,3650,3726,543,7919,0,34,77,111,141.06,2319.99149298171,140321.0,154829.0,32108.0,0.0
Borken,370676.0,21531.0,3034,4048,499,7581,0,53,101,154,1420.98,260.8594068882039,143390.0,190957.0,36329.0,0.0
Bottrop,117383.0,19674.0,1281,1850,184,3315,0,19,20,39,100.61,1166.713050392605,40668.0,63256.0,13459.0,0.0
Braunschweig,248292.0,21419.0,1173,1453,264,2890,0,26,30,56,192.7,1288.4898806434874,98757.0,120512.0,29023.0,0.0
Breisgau-Hochschwarzwald,262795.0,23963.0,1882,3044,436,5362,0,36,96,132,1378.31,190.66465454070564,95768.0,137131.0,29896.0,0.0
Bremen,569352.0,21327.0,5948,6594,815,13357,0,71,132,203,326.18,1745.5147464590104,223965.0,281433.0,63954.0,0.0
